StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q125,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q4,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q145,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q156,Q157_First Click,Q157_Last Click,Q157_Page Submit,Q157_Click Count,Q167,Q168_First Click,Q168_Last Click,Q168_Page Submit,Q168_Click Count,Q178,Q179_First Click,Q179_Last Click,Q179_Page Submit,Q179_Click Count,Q225,Q226_First Click,Q226_Last Click,Q226_Page Submit,Q226_Click Count,Q227,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,Q229,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q5_1,Q6_1,Q227,Q229,Q231,Q233,Q235,Q237,Q104,Q47,Q48,Q132,Q105,Q127,Q128,Q133,Q52,Q129,Q130,Q134,Q92,Q97,Q98,Q99,Q100,Q8_1,Q62_1,Q63_1,Q64_1,Q83_1,Q66_1,Q67_1,Q68_1,Q69_1,Q74_1,Q75_1,Q76_1,Q77_1,Q80_1,Q81_1,Q91,Q38,Q40_1,Carta1_DO,Forbice1_DO,Sasso1_DO,Forbice2_DO,Carta2_DO,Sasso2_DO,Forbice3_DO,Carta3_DO,Sasso3_DO,Forbice4_DO,Carta4_DO,Sasso4_DO,Forbice5_DO,Carta5_DO,Sasso5_DO,Sasso6_DO,Carta6_DO,Forbice6_DO,Sasso7_DO,Carta7_DO,Forbice7_DO,Sasso8_DO,Carta8_DO,Forbice8_DO,Carta9_DO,Sasso9_DO,Forbice9_DO,Sasso10_DO,Carta10_DO,Forbice10_DO
2021-04-12 12:03:21,2021-04-12 12:08:30,0,37.117.74.124,100,308,1,2021-04-12 12:08:30,R_sNVX8oniN4WU57b,,,,,45.4096069335938,11.8946990966797,anonymous,EN,LARE0602,1,6.427,7.656,9.232,2,1,3.066,3.066,4.322,1,3,1.063,1.063,1.632,1,3,1.531,1.531,2.505,1,2,0.97,0.97,1.833,1,2,2.136,2.136,2.841,1,1,0.661,0.661,1.375,1,3,1.776,1.776,2.467,1,2,1.384,1.384,2.029,1,2,0.626,0.626,1.432,1,100,9,1,1,1,1,1,1,6,2,1,3,1,1,2,4,7,2,4,2,4,1,2,1,1,2,,,2,3,10,1,,,1,10,1,,6,9,Femmina,24,21,forbice,,,,forbice,,forbice,,,carta,,,,,carta,carta,,,,sasso,,,,carta,,sasso,,carta,,
2021-04-12 12:03:24,2021-04-12 12:08:41,0,147.162.110.41,100,317,1,2021-04-12 12:08:42,R_1gjNM1OixjAeWut,,,,,45.4096069335938,11.8946990966797,anonymous,EN,leas0810,1,1.783,1.783,3.292,1,1,1.101,1.101,2.378,1,1,1.014,1.014,2.451,1,1,1.008,1.008,2.413,1,1,1.086,1.086,2.571,1,1,1.478,1.478,3.094,1,1,0.911,0.911,2.593,1,1,1.19,1.19,3.011,1,1,0.941,0.941,2.688,1,1,0.957,0.957,3.327,1,100,,1,1,1,1,1,1,5,6,8,1,5,,3,2,6,4,4,2,2,2,3,2,1,,,,,,,,,,,,,,,,Maschio,25,27,sasso,,,,forbice,,,carta,,,forbice,,,forbice,sasso,,carta,,,carta,,,sasso,,carta,,,,forbice,
2021-04-12 12:03:19,2021-04-12 12:08:49,0,93.37.210.98,100,330,1,2021-04-12 12:08:50,R_eaFMGwJeVM1UqTD,,,,,45.4936981201172,12.2449951171875,anonymous,EN,LBAS0309,1,2.105,2.105,2.986,1,2,0.66,0.66,1.254,1,3,0.572,0.572,1.105,1,3,1.944,1.944,2.571,1,1,0.649,0.649,1.559,1,2,0.539,0.539,1.152,1,2,0.603,1.167,1.678,2,1,1.622,1.622,2.281,1,3,1.472,2.17,2.794,2,2,0.987,0.987,1.509,1,50,69,3,3,2,2,2,3,7,4,8,8,6,4,8,3,6,4,3,3,3,2,3,2,3,7,2,3,1,1,2,1,2,1,2,1,1,1,3,4,Maschio ,23,32,carta,,,,,sasso,sasso,,,sasso,,,,carta,sasso,forbice,,,sasso,,,,carta,,,,forbice,carta,,
2021-04-12 12:02:51,2021-04-12 12:08:50,0,37.160.42.213,100,358,1,2021-04-12 12:08:50,R_1U4UCQptpukZTdn,,,,,43.1479034423828,12.1096954345703,anonymous,EN,ERRE1204,1,1.077,1.077,2.5,1,2,1.002,1.002,1.701,1,3,2.2,2.852,3.492,2,2,0.802,0.802,1.489,1,1,0.502,0.502,1.188,1,3,0.899,0.899,1.425,1,2,0.402,0.402,1.145,1,3,0.802,0.802,1.594,1,1,0.501,0.501,1.252,1,1,0.503,2.295,8.404,3,74,0,1,1,1,1,1,1,6,7,5,1,2,1,3,8,6,6,6,1,4,1,1,1,4,,,,,,,,,,,0,0,,,,Femmine,23,47,carta,,,,,carta,forbice,,,,,forbice,,forbice,sasso,,,forbice,sasso,,,,,carta,carta,,,,carta,
2021-04-12 12:02:55,2021-04-12 12:09:15,0,147.162.110.41,100,379,1,2021-04-12 12:09:15,R_1hMdQdXADpor1Ku,,,,,45.4096069335938,11.8946990966797,anonymous,EN,auad1307,1,2.101,2.101,3.037,1,3,1.081,1.081,1.797,1,2,0.574,0.574,1.529,1,3,0.676,0.676,1.199,1,1,0.301,0.301,0.885,1,2,0.676,0.676,1.426,1,3,0.402,0.402,1.289,1,1,0.302,0.302,1.14,1,2,0.482,0.482,0.999,1,3,0.301,0.301,0.801,1,30,29,3,4,5,4,5,5,4,4,2,2,3,3,2,8,4,5,8,8,3,1,1,2,1,1,0,1,0,0,0,0,5,0,0,0,0,5,0,5,Femmina,22,31,carta,,,carta,,,,,carta,forbice,,,,sasso,sasso,forbice,,,,,forbice,,forbice,,,carta,,,,carta
2021-04-12 12:02:59,2021-04-12 12:09:27,0,5.90.116.74,100,387,1,2021-04-12 12:09:27,R_3NKtuskdh4izyFX,,,,,43.54150390625,11.1766052246094,anonymous,EN,auir2307,1,5.847,5.847,6.634,1,3,1.601,1.601,2.502,1,2,1.214,1.214,2.117,1,1,0.898,0.898,1.643,1,3,0.502,0.502,1.088,1,2,0.681,0.681,1.513,1,1,0.401,0.401,1.223,1,2,2.901,2.901,3.426,1,3,0.612,0.612,1.109,1,3,0.966,0.966,1.433,1,79,32,1,1,1,1,1,1,3,1,3,4,2,1,3,2,5,4,3,1,2,2,2,2,1,,0,,1,,2,3,,,6,2,,,,6,Femmina,22,21,sasso,,,forbice,,,,,forbice,,carta,,forbice,,,carta,,,,forbice,,sasso,,,,,Q209,,,forbice
2021-04-12 12:02:54,2021-04-12 12:09:41,0,2.36.159.98,100,407,1,2021-04-12 12:09:41,R_29mDHJE9meV7LRW,,,,,45.6880950927734,9.72479248046875,anonymous,EN,aran0601,1,3.767,3.767,4.887,1,2,1.242,1.242,2.576,1,3,1.211,1.211,2.356,1,3,1.256,1.256,2.549,1,3,1.089,1.089,2.292,1,2,1.253,1.253,2.398,1,1,1.147,1.147,2.496,1,2,1.164,1.164,2.292,1,3,0.857,0.857,2.227,1,1,1.338,1.338,2.552,1,80,90,1,1,1,1,1,2,4,2,3,2,2,1,2,2,4,3,3,2,3,2,3,3,2,4,0,0,2,6,4,,,4,1,1,,,,5,femmina,25,76,forbice,,,,,carta,carta,,,carta,,,sasso,,,sasso,,,,forbice,,carta,,,,,sasso,,sasso,
2021-04-12 12:02:52,2021-04-12 12:10:06,0,151.36.37.1,100,433,1,2021-04-12 12:10:06,R_tFJZd1lQDrfbtgB,,,,,45.5050048828125,9.21989440917969,anonymous,EN,lbor0902,3,4.757,4.757,6.148,1,2,2.966,2.966,4.066,1,2,1.068,1.068,2.207,1,2,2.271,2.271,3.387,1,3,2.319,2.319,3.198,1,3,2.021,2.021,3.034,1,3,1.658,1.658,2.785,1,2,2.435,2.435,3.956,1,3,1.131,1.131,2.309,1,1,0.309,1.733,2.685,3,100,50,2,1,6,1,1,1,2,4,4,1,2,3,2,3,3,4,4,2,2,1,2,2,1,3,0,1,0,1,1,0,1,0,0,2,0,0,0,1,maschile,25,17,,carta,,,,carta,,,sasso,,,forbice,forbice,,,,,forbice,,,carta,sasso,,,,,Q209,,carta,
2021-04-12 12:02:30,2021-04-12 12:10:13,0,2.34.190.253,100,462,1,2021-04-12 12:10:14,R_xbih2C8EdmEEA8N,,,,,44.6753997802734,11.0397033691406,anonymous,EN,iaol2012,1,4.861,4.861,5.931,1,2,6.726,6.726,7.819,1,3,6.301,6.301,7.334,1,1,0.861,0.861,1.63,1,1,0.501,0.501,1.411,1,3,3.009,4.1,4.926,3,2,0.861,0.861,1.681,1,1,0.611,0.611,1.514,1,3,0.531,0.531,1.374,1,2,0.577,0.577,1.214,1,60,92,1,1,1,1,1,1,4,6,3,1,4,3,3,2,4,4,3,3,2,1,3,2,1,1,1,1,1,1,0,1,0,1,2,1,1,1,2,3,M,25,25,sasso,,,,,forbice,sasso,,,,forbice,,,carta,sasso,,,forbice,sasso,,,,carta,,,,Q209,forbice,,
2021-04-12 12:02:46,2021-04-12 12:10:18,0,5.91.22.246,100,452,1,2021-04-12 12:10:19,R_3L7JcyiqBArmUGR,,,,,45.5431060791016,11.54150390625,anonymous,EN,lean2012,3,4.001,5.001,5.829,2,3,1.301,1.301,2.201,1,3,1.801,1.801,2.866,1,3,2.101,2.101,2.911,1,2,2.1,2.1,4.595,1,1,4.599,4.599,5.167,1,1,0.902,0.902,1.648,1,1,0.687,0.687,1.487,1,1,0.801,0.801,1.535,1,3,1.266,1.266,1.869,1,82,68,5,2,5,3,2,3,6,5,3,8,4,3,3,3,6,5,4,1,3,2,4,3,1,2,1,3,1,2,1,2,3,2,1,2,1,1,3,4,Femmina,23,22,,forbice,,carta,,,forbice,,,sasso,,,,,carta,,forbice,,,carta,,,sasso,,sasso,,,,,carta
2021-04-12 12:03:04,2021-04-12 12:10:41,0,2.34.179.92,100,456,1,2021-04-12 12:10:41,R_xt0mlQl7kwMObT3,,,,,45.9638977050781,10.9111022949219,anonymous,EN,icis2005,1,1.363,1.363,2.91,1,2,0.612,0.612,1.34,1,3,0.633,0.633,1.668,1,1,0.739,0.739,1.51,1,2,0.478,0.478,1.372,1,3,0.408,0.408,1.321,1,1,0.741,0.741,1.568,1,2,0.474,0.474,1.24,1,3,0.696,0.696,1.476,1,1,0.601,0.601,1.412,1,99,71,1,1,1,1,1,1,4,2,5,3,4,1,1,3,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,M,38,4,carta,,,,,sasso,sasso,,,,forbice,,,,forbice,,,sasso,,sasso,,carta,,,,,Q209,,forbice,
2021-04-12 12:02:54,2021-04-12 12:10:44,0,62.18.192.5,100,470,1,2021-04-12 12:10:45,R_W36WKGUAANqpiTv,,,,,45.3491058349609,11.8713989257813,anonymous,EN,Arir0605,2,3.211,3.211,4.312,1,3,1.942,1.942,3.016,1,2,2.127,2.127,2.634,1,1,1.781,1.781,2.342,1,2,1.173,1.173,1.633,1,3,0.854,0.854,1.366,1,1,0.516,0.516,1.107,1,2,0.964,0.964,1.615,1,3,0.695,0.695,1.155,1,1,1.629,1.629,2.14,1,30,76,3,3,3,3,5,2,3,3,8,1,3,2,3,8,6,5,4,8,4,2,4,3,1,1,2,0,1,0,1,0,0,0,0,2,,0,0,1,Donna ,22,21,,,carta,sasso,,,,,carta,,forbice,,,,carta,,,sasso,,carta,,carta,,,,,Q209,,forbice,
2021-04-12 12:02:51,2021-04-12 12:10:48,0,5.90.108.250,100,477,1,2021-04-12 12:10:48,R_RLxXyukXp2nF42Z,,,,,43.7686004638672,11.2509002685547,anonymous,EN,auel0510,1,2.881,2.881,4.557,1,1,5.756,5.756,7.743,1,2,1.408,2.739,4.288,2,1,2.111,3.1,3.965,2,2,0.739,0.739,1.903,1,2,3.73,3.73,4.931,1,2,1.807,1.807,3.287,1,1,0.887,0.887,2.21,1,3,1.415,1.415,2.828,1,2,0.962,0.962,2.615,1,71,72,3,3,3,3,3,3,4,4,4,8,5,4,3,8,5,4,3,8,1,1,1,1,1,1,1,,,,,,,,3,,,,,2,maschio,24,36,forbice,,,,carta,,,,carta,,carta,,,,forbice,forbice,,,carta,,,,sasso,,,,Q209,carta,,
2021-04-12 12:02:45,2021-04-12 12:11:08,0,151.95.99.92,100,502,1,2021-04-12 12:11:08,R_28CchxwmvwQQp1w,,,,,45.3818969726563,11.0446929931641,anonymous,EN,brus0802,1,2.158,2.158,3.239,1,1,0.696,1.294,2.083,2,1,0.647,1.228,2.253,2,1,0.588,0.588,1.32,1,1,1.061,1.061,1.767,1,1,1.897,1.897,2.499,1,1,0.667,0.667,1.463,1,1,0.717,0.717,1.321,1,1,0.526,0.526,1.163,1,1,0.42,0.42,1.032,1,80,10,3,1,1,5,3,3,5,5,3,8,5,3,8,8,5,4,8,8,2,2,3,2,1,3,1,1,,,2,4,3,1,10,3,2,1,,1,Maschile ,24,57,sasso,,,,forbice,,,sasso,,,sasso,,,sasso,sasso,,sasso,,,carta,,,carta,,carta,,,,forbice,
